iter	Passed	Remaining
0	60	60736
1	63	31572
2	65	21759
3	67	16864
4	69	13889
5	72	11940
6	74	10551
7	76	9502
8	78	8668
9	81	8029
10	83	7481
11	85	7034
12	87	6658
13	89	6331
14	92	6043
15	94	5782
16	96	5565
17	98	5370
18	100	5196
19	102	5035
20	104	4884
21	106	4746
22	109	4641
23	111	4536
24	113	4445
25	116	4347
26	118	4254
27	120	4176
28	122	4098
29	124	4022
30	126	3952
31	128	3890
32	130	3827
33	132	3767
34	134	3717
35	136	3667
36	138	3616
37	140	3567
38	142	3521
39	145	3481
40	147	3440
41	149	3401
42	150	3360
43	152	3321
44	154	3286
45	156	3253
46	158	3222
47	160	3191
48	162	3160
49	164	3128
50	166	3098
51	168	3072
52	170	3044
53	172	3019
54	174	2998
55	176	2977
56	178	2956
57	180	2935
58	182	2912
59	184	2889
60	186	2868
61	188	2846
62	190	2826
63	192	2809
64	194	2792
65	196	2774
66	198	2757
67	199	2739
68	201	2722
69	203	2706
70	205	2692
71	207	2680
72	210	2668
73	212	2655
74	214	2642
75	216	2627
76	218	2614
77	220	2602
78	221	2586
79	223	2573
80	225	2562
81	227	2550
82	229	2539
83	231	2528
84	233	2516
85	235	2504
86	237	2494
87	239	2484
88	241	2475
89	243	2466
90	245	2454
91	247	2445
92	249	2434
93	251	2425
94	253	2414
95	255	2405
96	257	2396
97	259	2387
98	261	2378
99	263	2368
100	265	2360
101	267	2352
102	269	2344
103	271	2335
104	272	2326
105	274	2317
106	276	2310
107	279	2304
108	280	2296
109	282	2289
110	284	2282
111	286	2273
112	288	2266
113	290	2258
114	292	2250
115	294	2244
116	295	2229
117	297	2224
118	299	2217
119	301	2211
120	303	2205
121	305	2199
122	307	2193
123	309	2188
124	311	2182
125	313	2175
126	315	2169
127	317	2163
128	319	2157
129	321	2151
130	323	2145
131	325	2139
132	327	2133
133	329	2127
134	331	2123
135	333	2119
136	335	2113
137	337	2110
138	340	2106
139	342	2101
140	344	2096
141	346	2091
142	348	2086
143	350	2081
144	352	2076
145	354	2072
146	356	2066
147	357	2060
148	360	2056
149	361	2050
150	363	2045
151	365	2039
152	367	2035
153	369	2030
154	371	2026
155	373	2022
156	375	2018
157	377	2013
158	379	2008
159	381	2004
160	383	1999
161	385	1995
162	387	1990
163	389	1985
164	391	1980
165	393	1976
166	395	1972
167	397	1968
168	399	1965
169	401	1960
170	403	1956
171	405	1952
172	407	1948
173	409	1944
174	411	1940
175	413	1936
176	415	1932
177	417	1928
178	419	1923
179	421	1919
180	423	1916
181	425	1912
182	427	1909
183	429	1905
184	431	1900
185	433	1896
186	435	1892
187	437	1889
188	439	1885
189	441	1882
190	443	1878
191	445	1874
192	447	1870
193	449	1866
194	451	1863
195	454	1862
196	456	1860
197	458	1856
198	460	1852
199	462	1848
200	464	1844
201	465	1840
202	468	1837
203	469	1831
204	471	1828
205	474	1827
206	476	1824
207	478	1820
208	480	1816
209	482	1813
210	484	1812
211	486	1809
212	488	1806
213	490	1803
214	492	1799
215	494	1795
216	496	1792
217	498	1789
218	500	1785
219	502	1782
220	504	1778
221	506	1775
222	508	1772
223	510	1768
224	512	1765
225	515	1764
226	517	1761
227	519	1758
228	521	1755
229	523	1752
230	525	1749
231	527	1746
232	529	1742
233	531	1740
234	533	1737
235	535	1734
236	537	1731
237	539	1728
238	541	1725
239	543	1722
240	545	1718
241	547	1715
242	550	1715
243	552	1712
244	554	1710
245	556	1706
246	558	1702
247	560	1699
248	562	1696
249	564	1693
250	566	1689
251	568	1686
252	570	1683
253	572	1680
254	574	1677
255	576	1674
256	578	1671
257	580	1668
258	581	1664
259	583	1661
260	585	1657
261	587	1655
262	589	1651
263	591	1649
264	593	1646
265	595	1643
266	597	1639
267	599	1637
268	601	1635
269	604	1633
270	606	1630
271	608	1627
272	610	1624
273	612	1621
274	613	1618
275	614	1612
276	616	1609
277	618	1607
278	620	1604
279	622	1600
280	624	1597
281	626	1595
282	628	1592
283	630	1589
284	632	1587
285	634	1585
286	637	1582
287	639	1579
288	640	1576
289	642	1573
290	644	1571
291	646	1568
292	648	1565
293	650	1562
294	652	1560
295	654	1557
296	656	1554
297	658	1551
298	660	1549
299	662	1546
300	664	1543
301	666	1540
302	668	1538
303	670	1535
304	672	1532
305	674	1529
306	676	1526
307	678	1524
308	680	1521
309	682	1518
310	684	1515
311	685	1512
312	688	1510
313	690	1507
314	692	1505
315	694	1502
316	696	1499
317	697	1496
318	700	1494
319	702	1492
320	704	1490
321	706	1487
322	708	1485
323	710	1482
324	712	1479
325	714	1477
326	716	1475
327	718	1472
328	720	1470
329	723	1467
330	724	1465
331	726	1462
332	728	1459
333	730	1457
334	732	1454
335	735	1452
336	737	1450
337	739	1447
338	741	1444
339	742	1442
340	744	1439
341	746	1436
342	748	1434
343	750	1431
344	752	1428
345	754	1426
346	756	1423
347	758	1420
348	760	1418
349	762	1415
350	764	1412
351	766	1410
352	768	1408
353	770	1406
354	772	1404
355	774	1401
356	776	1399
357	778	1396
358	780	1393
359	782	1391
360	784	1388
361	786	1386
362	788	1383
363	790	1381
364	792	1379
365	794	1376
366	796	1374
367	798	1372
368	801	1369
369	803	1367
370	805	1365
371	807	1362
372	809	1360
373	811	1357
374	812	1354
375	814	1352
376	816	1349
377	818	1346
378	820	1344
379	823	1343
380	825	1340
381	827	1338
382	829	1336
383	831	1333
384	833	1331
385	835	1329
386	837	1326
387	839	1324
388	841	1321
389	843	1318
390	845	1316
391	847	1314
392	849	1311
393	851	1309
394	853	1306
395	855	1304
396	857	1302
397	859	1299
398	861	1297
399	863	1295
400	865	1293
401	867	1290
402	869	1288
403	871	1285
404	874	1284
405	876	1281
406	878	1279
407	880	1277
408	882	1275
409	884	1273
410	886	1270
411	888	1268
412	890	1266
413	892	1263
414	894	1261
415	897	1259
416	899	1258
417	901	1255
418	903	1253
419	905	1250
420	907	1248
421	909	1246
422	911	1243
423	913	1241
424	915	1238
425	917	1236
426	919	1234
427	921	1231
428	923	1229
429	925	1227
430	927	1224
431	929	1222
432	932	1220
433	934	1218
434	936	1215
435	937	1213
436	940	1211
437	942	1208
438	944	1206
439	946	1204
440	948	1201
441	949	1199
442	951	1196
443	953	1194
444	955	1191
445	957	1189
446	959	1187
447	961	1184
448	963	1182
449	965	1180
450	967	1178
451	969	1175
452	971	1173
453	973	1171
454	976	1169
455	978	1167
456	980	1164
457	982	1162
458	984	1160
459	986	1158
460	988	1155
461	990	1153
462	992	1151
463	994	1149
464	996	1147
465	999	1144
466	1001	1142
467	1003	1140
468	1004	1137
469	1006	1135
470	1008	1132
471	1010	1130
472	1012	1128
473	1014	1126
474	1016	1123
475	1018	1121
476	1020	1119
477	1022	1116
478	1024	1114
479	1026	1112
480	1028	1109
481	1031	1108
482	1033	1105
483	1035	1103
484	1037	1101
485	1039	1099
486	1041	1096
487	1043	1094
488	1045	1092
489	1047	1090
490	1049	1087
491	1051	1085
492	1053	1083
493	1055	1081
494	1057	1078
495	1059	1076
496	1061	1074
497	1063	1072
498	1065	1070
499	1067	1067
500	1069	1065
501	1071	1063
502	1074	1061
503	1075	1058
504	1078	1056
505	1080	1054
506	1082	1052
507	1084	1049
508	1086	1047
509	1087	1045
510	1089	1042
511	1091	1040
512	1093	1038
513	1096	1036
514	1098	1034
515	1100	1031
516	1102	1029
517	1103	1027
518	1105	1024
519	1108	1022
520	1110	1020
521	1112	1018
